CALL MOSOTIETKIEM(3, 'Nguyễn Thị Như Quỳnh', '680040861383', 'Q6', '2024-08-29', 324123);
CALL MOSOTIETKIEM(0, 'Lê Hoàng Quân', '195829997176', 'Q9', '2024-08-26', 365799);
CALL MOSOTIETKIEM(0, 'Đinh Văn Phượng', '388020211268', 'Thủ Đức', '2024-09-14', 280362);
CALL MOSOTIETKIEM(6, 'Nguyễn Echam Samuel', '658045667834', 'Q2', '2024-12-13', 864882);
CALL MOSOTIETKIEM(6, 'Nguyễn Xuân Sang', '825203284988', 'Bình Thạnh', '2024-04-06', 799866);
CALL MOSOTIETKIEM(0, 'Lê Phú Quý', '498268225956', 'Q11', '2024-10-01', 925962);
CALL MOSOTIETKIEM(3, 'Lý Quốc Quyền', '312827054412', 'Q4', '2024-10-04', 512666);
CALL MOSOTIETKIEM(0, 'Bùi Minh Quân', '945433296608', 'Q10', '2024-12-25', 752544);
CALL MOSOTIETKIEM(0, 'Nguyễn Ngọc Sơn', '451774613213', 'Bình Thạnh', '2024-04-10', 985706);
CALL MOSOTIETKIEM(3, 'Bùi Duy Qúy', '512789311506', 'Bình Tân', '2024-02-15', 541337);
CALL MOSOTIETKIEM(0, 'Võ Hoàng Phương', '568008021671', 'Q12', '2024-06-25', 550721);
CALL MOSOTIETKIEM(6, 'Trần Minh Phương', '719515296739', 'Q11', '2024-11-09', 679312);
CALL MOSOTIETKIEM(3, 'Phan Duy Quốc', '247228165684', 'Q3', '2024-03-27', 929324);
CALL MOSOTIETKIEM(6, 'Nguyễn Vũ Ngọc Quyên', '130789159079', 'Q8', '2024-08-21', 347620);
CALL MOSOTIETKIEM(6, 'Trương Trọng Quân', '619792323830', 'Q5', '2024-06-13', 854163);
CALL MOSOTIETKIEM(6, 'Phạm Minh Quân', '680373619622', 'Q10', '2024-08-21', 247553);
CALL MOSOTIETKIEM(6, 'Võ Thanh Sanh', '161921817644', 'Q11', '2024-01-31', 903552);
CALL MOSOTIETKIEM(6, 'Nguyễn Minh Phương', '379601139479', 'Tân Bình', '2024-07-22', 465240);
CALL MOSOTIETKIEM(3, 'Nguyễn Viết Sơn', '197071075953', 'Q2', '2024-06-14', 206462);
CALL MOSOTIETKIEM(3, 'Vũ Hoàng Hải Sơn', '717892076834', 'Thủ Đức', '2024-07-07', 289746);
CALL MOSOTIETKIEM(3, 'Nguyễn Hải Sơn', '386144925360', 'Q4', '2024-04-25', 288307);
CALL MOSOTIETKIEM(0, 'Nguyễn Vũ Trường Sơn', '448992847473', 'Thủ Đức', '2024-07-23', 237864);
CALL MOSOTIETKIEM(3, 'Trần Minh Sang', '972690561259', 'Q8', '2024-03-24', 689164);
CALL MOSOTIETKIEM(3, 'Nguyễn Trung Sơn', '487498608510', 'Thủ Đức', '2024-06-05', 711350);
CALL MOSOTIETKIEM(0, 'Lê Quang', '873755210891', 'Q5', '2024-09-30', 891871);
CALL MOSOTIETKIEM(6, 'Vũ Thị Phương', '201481640487', 'Q9', '2024-07-12', 664573);
CALL MOSOTIETKIEM(3, 'Nguyễn Văn Sơn', '270410546138', 'Tân Bình', '2024-09-17', 165672);
CALL MOSOTIETKIEM(6, 'Lê Anh Sơn', '356226201974', 'Q6', '2024-09-07', 466478);
CALL MOSOTIETKIEM(3, 'Võ Tiến Sĩ', '829262601980', 'Bình Tân', '2024-02-24', 835411);
CALL MOSOTIETKIEM(3, 'Phan Đức Sơn', '346702690513', 'Q3', '2024-01-16', 662033);
CALL MOSOTIETKIEM(3, 'Trần Thế Sơn', '856677525141', 'Q4', '2024-04-30', 580141);
CALL MOSOTIETKIEM(0, 'Vũ Hồng Tâm', '406985439510', 'Q11', '2024-01-12', 982704);
CALL MOSOTIETKIEM(3, 'Nguyễn Minh Tân', '633084916794', 'Q4', '2024-03-15', 187575);
CALL MOSOTIETKIEM(0, 'Lê Hà Xuân Thái', '781953253460', 'Q5', '2024-07-21', 414564);
CALL MOSOTIETKIEM(0, 'Nguyễn Ngọc Phương', '965247472786', 'Q6', '2024-12-23', 307828);
CALL MOSOTIETKIEM(0, 'Bùi Anh Tài', '475778333366', 'Q7', '2024-07-11', 838889);
CALL MOSOTIETKIEM(0, 'Dương Chí Tâm', '246186261124', 'Thủ Đức', '2024-01-26', 203976);
CALL MOSOTIETKIEM(6, 'Phạm Thanh Quốc', '418159844790', 'Thủ Đức', '2024-12-18', 406027);
CALL MOSOTIETKIEM(3, 'Lê Trường Sa', '144148770935', 'Thủ Đức', '2024-07-13', 691051);
CALL MOSOTIETKIEM(3, 'Lưu Nguyễn Quốc Sơn', '811929283997', 'Q10', '2024-10-24', 765337);
CALL MOSOTIETKIEM(0, 'Ngô Vũ Sang', '252899128711', 'Q3', '2024-04-13', 913649);
CALL MOSOTIETKIEM(6, 'Lê Công Tài', '079872959226', 'Q2', '2024-06-27', 785618);
CALL MOSOTIETKIEM(6, 'Đỗ Minh Tâm', '360313719902', 'Q6', '2024-09-02', 631048);
CALL MOSOTIETKIEM(3, 'Trần Thị Minh Sương', '533601667453', 'Q5', '2024-06-27', 134566);
CALL MOSOTIETKIEM(6, 'Trần Văn Tài', '817423072613', 'Q2', '2024-07-10', 705005);
CALL MOSOTIETKIEM(0, 'Lê Văn Tài', '494951366447', 'Q4', '2024-04-03', 689615);
CALL MOSOTIETKIEM(6, 'Vũ Thị Hoài Sơn', '420673069546', 'Bình Thạnh', '2024-10-18', 245047);
CALL MOSOTIETKIEM(6, 'Dương Thanh Tâm', '056327305507', 'Q6', '2024-09-30', 834948);
CALL MOSOTIETKIEM(0, 'Hồ Quốc Tài', '517465473970', 'Q2', '2024-09-14', 537655);
CALL MOSOTIETKIEM(0, 'Huỳnh Lê Tấn Tài', '069695986792', 'Q9', '2024-12-09', 687255);
CALL MOSOTIETKIEM(3, 'Huỳnh Hữu Tâm', '169997173359', 'Q5', '2024-08-04', 907467);
CALL MOSOTIETKIEM(0, 'Nguyễn Anh Tấn', '051708998671', 'Q9', '2024-08-05', 540281);
CALL MOSOTIETKIEM(0, 'Nguyễn Ngọc Thân', '996271697822', 'Q4', '2024-10-19', 912943);
CALL MOSOTIETKIEM(0, 'Đoàn Thanh Tân', '175761347456', 'Q11', '2024-07-29', 928792);
CALL MOSOTIETKIEM(6, 'Vũ Minh Thái', '291367673047', 'Bình Tân', '2024-08-24', 894400);
CALL MOSOTIETKIEM(6, 'Đặng Xuân Thanh', '640120978064', 'Q12', '2024-10-18', 887651);
CALL MOSOTIETKIEM(0, 'Vũ Văn Thành', '016962001910', 'Bình Thạnh', '2024-08-18', 298360);
CALL MOSOTIETKIEM(0, 'Lê Duy Thắng', '556313698041', 'Thủ Đức', '2024-06-05', 531547);
CALL MOSOTIETKIEM(0, 'Hồ Nguyễn Xuân Thanh', '598713315449', 'Q9', '2024-12-25', 547597);
CALL MOSOTIETKIEM(0, 'Trần Tất Thắng', '209070159525', 'Q7', '2024-04-28', 444316);
CALL MOSOTIETKIEM(0, 'Nguyễn Chí Thanh', '442916902137', 'Bình Tân', '2024-04-04', 884045);
CALL MOSOTIETKIEM(3, 'Phan Xuân Thắng', '300505548597', 'Q5', '2024-02-22', 595669);
CALL MOSOTIETKIEM(3, 'Bùi Minh Thảo', '635318711944', 'Q10', '2024-07-28', 498159);
CALL MOSOTIETKIEM(0, 'Đặng Văn Thắng', '904687093280', 'Q1', '2024-08-09', 419291);
CALL MOSOTIETKIEM(0, 'Diệp Vương Thắng', '099135273470', 'Q12', '2024-07-03', 347165);
CALL MOSOTIETKIEM(3, 'Đinh Xuân Thắng', '732558274162', 'Q2', '2024-03-18', 753898);
CALL MOSOTIETKIEM(3, 'Lâm Văn Thành', '072835325527', 'Q2', '2024-03-17', 292989);
CALL MOSOTIETKIEM(3, 'Nguyễn Tiến Thành', '620268273132', 'Q5', '2024-01-10', 571280);
CALL MOSOTIETKIEM(6, 'Đàm Văn Thiện', '395475080594', 'Q11', '2024-07-12', 953614);
